Greater2daysInterval 698
MinTs 1533121514070800
MaxTs 1533121515644417
TotalBytes 7429630
RequestCount 1000
UniqueObjs 601
UniqueBytes 5455778
MaxObjSize 510020
MinObjSize 3
Mean 7429.63
StdDev 34217.1
SquaredCoeffVar 21.2106
Greater2daysInterval 698
OneHitWonders 506
Ranks
1 506
2 41
3 10
4 28
6 8
7 2
8 1
11 1
15 1
44 1
55 1
75 1
Sizes
3 208
4 114
5 5
6 22
7 4
9 12
10 8
12 1
15 1
16 5
17 5
18 1
20 6
21 2
23 3
27 1
69 1
79 1
94 2
117 1
123 1
124 1
144 1
206 1
208 1
231 1
242 2
263 1
283 1
303 1
334 1
348 1
357 1
359 1
368 2
369 3
374 3
377 1
380 1
381 1
397 1
399 1
404 1
434 1
450 1
458 1
462 1
466 1
470 1
477 1
478 1
479 1
497 1
501 6
514 1
529 1
532 1
536 1
556 1
562 1
570 2
576 1
578 2
579 1
583 1
587 1
591 6
606 1
612 1
621 1
650 1
651 1
699 2
701 2
703 2
705 2
727 1
733 3
736 44
757 1
776 1
792 1
793 1
798 1
800 6
803 1
809 1
812 1
826 1
835 4
848 1
855 5
856 1
861 1
874 1
877 1
892 1
893 2
901 1
928 2
937 1
939 3
954 1
958 1
960 1
963 1
967 1
968 1
977 2
982 1
1047 1
1056 1
1060 6
1061 1
1062 1
1064 1
1075 1
1079 1
1082 1
1085 1
1095 1
1097 4
1127 1
1143 1
1144 1
1147 1
1162 1
1165 1
1169 1
1182 1
1183 1
1219 3
1231 1
1244 1
1262 1
1288 1
1307 1
1311 4
1313 1
1314 1
1317 1
1325 4
1339 1
1342 1
1375 1
1398 1
1418 1
1433 1
1439 1
1446 1
1448 1
1454 1
1461 1
1532 1
1534 1
1590 1
1620 1
1649 1
1653 3
1679 1
1688 1
1695 1
1720 1
1733 4
1749 4
1774 1
1781 2
1829 1
1831 4
1875 4
1900 1
1911 1
1941 3
1959 4
2002 4
2034 1
2043 1
2085 1
2091 1
2099 1
2118 1
2135 1
2145 1
2147 1
2169 1
2177 2
2267 1
2384 1
2385 1
2510 1
2526 1
2534 6
2537 1
2539 1
2544 1
2547 1
2548 1
2556 1
2561 1
2563 1
2571 1
2573 2
2575 1
2579 1
2585 1
2590 2
2592 1
2593 1
2594 1
2598 2
2603 2
2605 1
2611 1
2616 1
2619 1
2620 1
2622 1
2626 1
2629 2
2631 3
2634 1
2641 1
2642 1
2658 1
2668 1
2679 1
2802 4
2838 1
2852 4
2895 1
2926 1
3084 1
3114 1
3196 1
3212 1
3363 1
3391 1
3394 1
3422 1
3430 1
3443 1
3451 1
3498 3
3508 4
3525 1
3537 1
3723 1
3872 1
4041 1
4110 1
4113 1
4167 2
4183 3
4186 4
4235 1
4346 1
4374 1
4464 1
4672 1
4928 1
4941 1
4961 1
4974 1
5009 1
5017 1
5029 1
5035 1
5118 1
5119 1
5145 1
5154 1
5181 1
5385 1
5837 1
5850 1
5884 1
6106 1
6148 1
6178 1
6207 1
6402 11
6422 8
6464 3
6517 1
6834 1
7044 1
7070 55
7483 1
7508 1
8245 1
8260 1
8317 3
8739 1
8751 1
10084 1
10160 1
11360 2
12340 1
12539 1
12830 4
12874 1
13098 1
13141 1
13240 10
13772 1
14714 1
15458 1
15839 2
16934 1
17367 1
17581 1
18103 1
18126 1
19119 1
19428 1
19627 4
20244 4
20312 1
20680 1
20774 1
20821 1
22674 1
23052 1
23079 1
24985 1
28963 3
30085 1
30297 1
30601 6
31359 1
32074 1
38864 1
43349 1
43777 6
56067 1
56210 1
56508 1
92760 1
97606 1
111584 1
115053 1
136294 1
165873 1
185526 1
185623 2
192415 2
193760 2
202815 1
250945 1
255668 1
288602 1
377323 1
414018 1
510020 1
Done!
